"","Date","Source","Site.ID","POC","Daily.Mean.PM2.5.Concentration","UNITS","DAILY_AQI_VALUE","Site.Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"28",2018-03-27,"AQS",370110002,1,4.4,"ug/m3 LC",18,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"29",2018-03-30,"AQS",370110002,1,1.6,"ug/m3 LC",7,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"30",2018-04-02,"AQS",370110002,1,6,"ug/m3 LC",25,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"31",2018-04-05,"AQS",370110002,1,4.5,"ug/m3 LC",19,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"32",2018-04-08,"AQS",370110002,1,2.9,"ug/m3 LC",12,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"33",2018-04-11,"AQS",370110002,1,4.5,"ug/m3 LC",19,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"34",2018-04-14,"AQS",370110002,1,7.7,"ug/m3 LC",32,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"35",2018-04-17,"AQS",370110002,1,3.7,"ug/m3 LC",15,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"36",2018-04-20,"AQS",370110002,1,2.6,"ug/m3 LC",11,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"37",2018-04-23,"AQS",370110002,1,1.6,"ug/m3 LC",7,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"38",2018-04-26,"AQS",370110002,1,2.2,"ug/m3 LC",9,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"39",2018-04-29,"AQS",370110002,1,2.7,"ug/m3 LC",11,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"40",2018-05-02,"AQS",370110002,1,7.3,"ug/m3 LC",30,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"41",2018-05-05,"AQS",370110002,1,10.1,"ug/m3 LC",42,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"42",2018-05-08,"AQS",370110002,1,4.8,"ug/m3 LC",20,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"43",2018-05-11,"AQS",370110002,1,8.4,"ug/m3 LC",35,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"44",2018-05-14,"AQS",370110002,1,11.7,"ug/m3 LC",49,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"45",2018-05-17,"AQS",370110002,1,2.6,"ug/m3 LC",11,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"46",2018-05-20,"AQS",370110002,1,5.3,"ug/m3 LC",22,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"47",2018-05-23,"AQS",370110002,1,5.5,"ug/m3 LC",23,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"48",2018-05-26,"AQS",370110002,1,2.2,"ug/m3 LC",9,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"49",2018-05-29,"AQS",370110002,1,1.2,"ug/m3 LC",5,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"50",2018-06-01,"AQS",370110002,1,3.6,"ug/m3 LC",15,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"51",2018-06-04,"AQS",370110002,1,3.9,"ug/m3 LC",16,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"52",2018-06-07,"AQS",370110002,1,8,"ug/m3 LC",33,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"53",2018-06-10,"AQS",370110002,1,9.3,"ug/m3 LC",39,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"54",2018-06-13,"AQS",370110002,1,4.3,"ug/m3 LC",18,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"55",2018-06-16,"AQS",370110002,1,9.8,"ug/m3 LC",41,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"56",2018-06-19,"AQS",370110002,1,10.1,"ug/m3 LC",42,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"57",2018-06-22,"AQS",370110002,1,4.8,"ug/m3 LC",20,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"58",2018-06-25,"AQS",370110002,1,4.9,"ug/m3 LC",20,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"59",2018-06-28,"AQS",370110002,1,5.8,"ug/m3 LC",24,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"60",2018-07-01,"AQS",370110002,1,6,"ug/m3 LC",25,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"61",2018-07-04,"AQS",370110002,1,10.2,"ug/m3 LC",43,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"62",2018-07-07,"AQS",370110002,1,5.2,"ug/m3 LC",22,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"63",2018-07-10,"AQS",370110002,1,8.1,"ug/m3 LC",34,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"64",2018-07-13,"AQS",370110002,1,11.2,"ug/m3 LC",47,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"65",2018-07-16,"AQS",370110002,1,7.5,"ug/m3 LC",31,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"66",2018-07-19,"AQS",370110002,1,7,"ug/m3 LC",29,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"67",2018-07-22,"AQS",370110002,1,4.2,"ug/m3 LC",18,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"68",2018-07-25,"AQS",370110002,1,5,"ug/m3 LC",21,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"69",2018-07-28,"AQS",370110002,1,8.1,"ug/m3 LC",34,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"70",2018-07-31,"AQS",370110002,1,6.1,"ug/m3 LC",25,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"71",2018-08-03,"AQS",370110002,1,1.2,"ug/m3 LC",5,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"72",2018-08-06,"AQS",370110002,1,5,"ug/m3 LC",21,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"73",2018-08-09,"AQS",370110002,1,5.1,"ug/m3 LC",21,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"74",2018-08-12,"AQS",370110002,1,8.4,"ug/m3 LC",35,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"75",2018-08-15,"AQS",370110002,1,10.3,"ug/m3 LC",43,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"76",2018-08-18,"AQS",370110002,1,6,"ug/m3 LC",25,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"77",2018-08-21,"AQS",370110002,1,4.7,"ug/m3 LC",20,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
